              nu/v [m^-1]        E_r/v [kV s /m^2]                 N_theta                   N_zeta                     N_xi                     D_11                     D_31                     D_13                     D_33             D_33_Spitzer      Wall-clock time [s]             CPU time [s] 
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1500000000000000E+02   0.2000000000000000E+02   0.7249893229607812E-01  -0.7728024832174050E+00   0.1201387484505836E+01  -0.9355444684751379E+04  -0.6148409691966500E+05   0.1949000000000000E+00   0.4239160000000000E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.1900000000000000E+02   0.2000000000000000E+02   0.7682046560138210E-01  -0.2957201216354863E+00   0.2534110815067245E+00  -0.8811330688992915E+04  -0.6148412836625348E+05   0.4710000000000000E-01   0.4535190000000001E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.2300000000000000E+02   0.2000000000000000E+02   0.7658937454491112E-01  -0.2642393639741447E-01   0.3125236498351024E-01  -0.8792805168690758E+04  -0.6148412803587668E+05   0.6020000000000000E-01   0.5907950000000000E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.2700000000000000E+02   0.2000000000000000E+02   0.7628309837651800E-01   0.3098501385816113E-01  -0.3087965199586122E-01  -0.8745311333644897E+04  -0.6148412804598877E+05   0.7710000000000000E-01   0.7603400000000002E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.3100000000000000E+02   0.2000000000000000E+02   0.7624667902370241E-01   0.2808745557779001E-01  -0.2802498974977233E-01  -0.8732472915445827E+04  -0.6148412804545134E+05   0.1004000000000000E+00   0.9934999999999996E+00
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.3500000000000000E+02   0.2000000000000000E+02   0.7624693510789582E-01   0.2609202350818226E-01  -0.2605244645506714E-01  -0.8731762668779458E+04  -0.6148412804544731E+05   0.1651000000000000E+00   0.1637901000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.3900000000000000E+02   0.2000000000000000E+02   0.7624802679361026E-01   0.2563115284984517E-01  -0.2563122771507678E-01  -0.8731856357517720E+04  -0.6148412804544706E+05   0.1715000000000000E+00   0.1703069999999999E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.4300000000000000E+02   0.2000000000000000E+02   0.7624816390125944E-01   0.2559152805247837E-01  -0.2559618857599033E-01  -0.8731881575551626E+04  -0.6148412804544707E+05   0.2192000000000000E+00   0.2174515000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.4700000000000000E+02   0.2000000000000000E+02   0.7624817396193648E-01   0.2559012941953581E-01  -0.2559393503174073E-01  -0.8731882078892517E+04  -0.6148412804544710E+05   0.2668000000000000E+00   0.2653240000000000E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.5100000000000000E+02   0.2000000000000000E+02   0.7624817383876938E-01   0.2559126107398699E-01  -0.2560069141661645E-01  -0.8731876358388818E+04  -0.6148412804544708E+05   0.3205000000000000E+00   0.3188218999999998E+01
   0.1000000000000000E-04   0.0000000000000000E+00   0.1500000000000000E+02   0.5500000000000000E+02   0.2000000000000000E+02   0.7624817360664378E-01   0.2559154730600192E-01  -0.2559686504211509E-01  -0.8731882555487351E+04  -0.6148412804544710E+05   0.3814000000000000E+00   0.3795608999999999E+01
